Number,Title,Description,Location,Time,Term,Company,Category,Source,Salary
156,Production operative,"We are looking for **** Temporary Production Operatives to work for our client in Langoport. The company specializes in food production (meat factory). Experience working on a food production line is not essential but would be advantageous. English basic. The rate is **** p/h Mon Fri start **** (****/5 hours per day) The position is part time, ongoing Start ASAP Please contact Marta tel. **** **** ****",Langport,part_time,,Concept Staffing,Manufacturing Jobs,Jobcentre Plus,11884
157,IT Technical Service Management roleMicrosoft Environment  Banking &,"IT Technical Service Management roleMicrosoft Environment  Banking Finance  Brentwood, Essex I am currently working with a financial institution that is based in Brentwood, Essex. Over the last 5 years they have grown extensively and are now starting to build out and make advancements within their IT department. The headquarters have currently around **** users however the team support around **** users nationally. They are looking for an IT service desk manager to run a support team of **** making sure all IT service requests are responded to and resolved within the agreed service level agreement. This role is also a very technical and hands on, where skills within VMware, Exchange and SQL are absolutely compulsory. The successful candidate will have moved from being technically hands on to becoming a technically hands on manager. You will be technically involved in the design, implementation and support of VMware ESXi clusters and site recovery manager so skills in this area are a must. Key responsibilities: Develop processes with quality measures for the IT helpdesk an infrastructure team to ensure consistently high quality of services delivery to the business Coordinate and all IT infrastructure change controls ensuring all changes are perform around business hours Design, Implementation of Microsoft core technologies including Exchange, SQL and IIS Plan and coordinate resources between BAU operations and project to ensure all targets deliverables are delivered on time. Mentor and develop the IT helpdesk and infrastructure teams Provide proactive communication to the business drying systems outages. The successful candidate must have the following: ITIL framework experience Extensive VMware experience VMware Version 5 VMware site recovery manager SQL/Windows experience Some Management experience Active Directory experience If you have the necessary skills and experiences please send your CV or call me.",London,,permanent,Westbourne Partners Ltd,IT Jobs,jobserve.com,52500
158,Information Administrator,"AMBITIOUS ADMINISTRATOR AND DATA ENTRY CLERK PROVIDING PROFESSIONAL ADMINISTRATIVE SERVICE 11 Month Contract  **** pro rata A large company with an excellent reputation across the country with an exceptional reputation as a caring employer. They value their employees and are growing from strength to strength. The company are at a very exciting time at present. An opportunity has arisen for an individual to join the team as an Information Administrator. The individual will have administrative tasks as well as project work requiring data entry. The candidate will be part of the team and will work with everyone and have good Excel skills and a professional outlook. We are looking for individuals with a professional outlook and personality and have the ability to pick things up quickly and have an administration background. The ideal candidate must have confidence with MS word suite, and have excellent Excel skills. Previous experience in a similar role is desirable. The candidate must be flexible and be a motivated team member. The candidate must be professional and have the ability to work alone and remain motivated. Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T C's, Privacy Policy and Disclaimers which can be found at hays.co.uk This job was originally posted as www.totaljobs.com/JobSeeking/InformationAdministrator_job****",Stratford-Upon-Avon,,contract,Hays,Accounting & Finance Jobs,totaljobs.com,18000
159,Optometrist,"Company Prospect health is recruiting on behalf of one of the largest groups of independent opticians in the UK. They were established over 100 years ago and are still privately owned. They have grown through acquisitions and aim to put together friendly and enthusiastic teams dedicated to providing the highest standards of service. Branch Their practices are modern and wellequipped and you can expect to be supported by excellent branch staff and practice managers. Most stores open Monday to Friday ****  ****.30 and Saturdays ****  **** All equipment is regularly serviced. All Optometrists are expected to attend other stores within a reasonable distance of their base branch when requested. Training & Development Their training programmes are highly regarded throughout the profession and most of their substantial amount of prereg students are offered permanent roles on qualifying. Role As the resident Optometrist in this practice your main responsibilities would be to perform eye tests and maximise the volume and profitability of the business. You would be the sole Optometrist but you would be well supported by branch staff and a strong network of Area Managers. In terms of testing, they are not looking for someone to come in and whizz through **** eye exams in a day. Appointments are usually scheduled for **** minutes each with more focus on customer care and spending time with your patients. All consulting rooms are equipped to a high standard. Summary In summary what they’re looking for is someone who wants to work in a professional environment, someone who takes a pride in their work and can provide an excellent customer experience and someone who can add strength to the team and help to grow the business. Remuneration & Package In terms of a salary package our client will put together a very competitive offer, although the exact figure will entirely depend on the person and what they can bring to the table. On top of a good basic salary the package includes: Private Healthcare Car allowance Group Pension Scheme What happens next? To apply for this position you must be registered with the GOC as an Optometrist or Student Optometrist and possess the right to work in the United Kingdom. To talk to us in confidence about this opportunity and any other suitable positions please contact a member of the Optometry division on **** **** (Office hours Mon  Thurs ****:30am  ****:30pm & Friday ****:30am  5:30pm) Apply",Lincolnshire,,,Prospect Health,Healthcare & Nursing Jobs,jobs.opticianonline.net,42500
160,Regional Trainer,"Our client is a forward thinking organisation. They are currently looking for a Regional Trainer to cover there services in Scotland. You will be based in one of the three services depending on your location. As a Regional Trainer you will be required to provide a broad range of mandatory and legislative training to staff in all services in your region. Working as part of the training team and reporting to the Learning and Development Manager, you will design and deliver training sessions that inspire staff and ensure they have the appropriate skills and confidence to work within our services. You will be part of a multidisciplinary team dedicated to providing high levels of care and best practice within the organisation. Our client is looking for someone who is passionate about care and making a difference in other people s lives, specialising in the Learning Disability, Autism and Brain Injury sector. Overview of role: Design and delivery of training and learning interventions in mandatory and legislative training in an engaging, positive and supportive environment Work closely with service managers and the training administration team to ensure training is delivered when and where it is needed. Support staff to ensure that the principles and skills obtained by staff during training sessions are embedded and incorporated as best practice within services and provide additional support where necessary Engage in external training events to ensure training content is benchmarked against industry best practice Requirements: Professional qualification in training delivery / teaching Knowledge and understanding of the mandatory an legislative training requirements in the Health and Social Care and LD sectors Excellent communication skills, both written and verbal and excellent self presentation Experience of working in an LD environment is desirable Ability to work independently and without direct supervision, and to solve problems and remain calm under pressure Must be prepared to travel and expect occasional overnight stays A full UKdriving license and access to your own car is essential to this post This is a fantastic opportunity to work for an ambitious and supportive organisation that is looking for the right candidate to use their experience to maintain and improve the performance. For more information please call Lynne at Randstad Care Edinburgh on **** **** ****",UK,,,Randstad Care,Social work Jobs,jobs.communitycare.co.uk,26471
161,Assistant Accountant,"An excellent opportunity has arisen to join a successful local company based in central Redhill. With 23 years accounts experience we are looking to recruit an individual who is keen to progress their career and take that next step up. Your duties will include:  Accounts payable and accounts receivable  Assisting with the credit control  Bank reconciliations  Assisting with the month end close and the preparation of the monthly management accounts  Providing ad hoc support & reports to the management team The Candidate:  Between 24 years experience gained within an accounts/finance department  Possibly studying AAT or equivalent with a desire to progress and develop  Strong IT skills  Excellent written & verbal communication skills In addition to a competitive basic salary, the successful candidate will also enjoy a benefits package which includes a study support package and access to free car parking. This is a great opportunity within a growing organisation. Byron Recruitment Limited trading as Byron Finance operates as an Employment Agency and an Employment Business. Byron Finance is committed to equal opportunities and diversity and is a member of the Recruitment and Employment Confederation (REC)",Surrey,full_time,permanent,Byron Finance,Accounting & Finance Jobs,GAAPweb,26000
162,Digital Graphic Designer  Leading Investment House,"Digital Graphic Designer  Leading Investment House City (EC****) ****  **** (plus bonus, options thinking creatively to produce new ideas and concepts > Capable of working effectively under pressure and to tight deadlines and be able managing several tasks simultaneously > Be highly organised and capable of handling project through the whole production process, working closely all stakeholders > Developing design briefs by gathering information and data through research > Proofreading to produce accurate and highquality work > General marketing DTP support and modifying existing documentation across our entire product range > Sector experience is highly preferred, though not essential for exceptional candidates Competency Requirements: > Focus on Impact  Creates a culture that promotes new ideas and approaches (and the support required) and links with overall business objectives > Customer Obsession  builds understanding, internally and externally in communicating our enduring purpose, brand, goals, and strategies. Our brand isn't what we say it is, it's what the customers say it is > Quality  operating to the highest standards of work quality in all output 100% is the only target Company Overview: Since our establishment in **** we have built a reputation for creating innovative and successful investment products that meet the needs of individual investors. It is this approach, combined with excellent service levels and award winning product performance, which has made us one of the fastest growing fundmanagement companies in the UK. Application Statement: By applying for this role you give express consent for us to process & submit (subject to required skills) your application to our client in conjunction with this vacancy only. The Digital Graphic Designer is brought to you by RecruitmentRevolution.com  The UK's first online recruitment agency created ****",London,full_time,permanent,RecruitmentRevolution.com Limited,Accounting & Finance Jobs,fish4.co.uk,31000
163,Payroll Administrator,"A wellestablished private organisation in London are urgently looking to recruit for a Payroll Administrator on a permanent basis to join their finance department. This is a great opportunity to join a rewarding company in a role that can offer great career progression with good benefits and a great working environment. Reporting in to the Financial Director, the incumbent will be responsible for calculating and inputting weekly and daily time sheets, process all SMP, SPP, SAP Prepare all new starters and deal with all P**** preparation of BACS payments and provide additional support to the Payroll Manager. Candidates must have previous payroll experience and excellent working knowledge of Excel. Candidates without any payroll experience will not be considered",London,,permanent,Portfolio Payroll Limited,Accounting & Finance Jobs,cv-library.co.uk,21000
164,Factory Automation Engineer,"Benefits: You'll enjoy access to competitive salary plus excellent benefits package that includes paid overtime, private health care, company pension, discounted car leasing, or purchase scheme, career development, plus much more. Are you a hard working Electronics or Electrical Engineer with an expertise in factory automation then you could be taking on an exciting new role with one of the most successful and reputable global automotive manufacturers. In one of the essential industrial Engineering roles you will be at the heart of the manufacturing process, where critical production systems need to be exceptional, so you'll be challenged every day, enjoy a forward thinking culture and progressive environment. Reporting into Senior Management you will be based in one of the most efficient and successful vehicle manufacturing plants in Europe, located **** miles from the A**** and easily accessible by road and public transport. As part of this diverse and challenging Engineering role, you will be given plenty of responsibility with interesting projects along with long term career prospects, including: Design of electrical and mechanical facility from concept stage, through installation, commissioning and into production use Review of machine concepts considering the Safety and Legal compliance through current European Machine legislation and standards. Reliability Efficiency reviews  demonstrating improvement of equipment reliability through data analysis and problem solving for MTTR, OEE, PPM's. Machine safety: including Safety devices, Safety matrices, SCPL and Risk assessments all conforming to the Machinery Directives. Generation of technical reports such as CE files, Instruction Manuals and EHSR. Electrical design including LV power supplies, controls and safety circuits. Specification: Candidates should be able to demonstrate the following: Experience with in factory automation and industrial systems Qualified preferably to degree or HNC in Electrical / Electrical Engineering, or an equivalent level Strong electrical background  proven ability for design, review and fault finding of systems. Demonstrable knowledge of current European Machine legislation and standards. PLC programming (Omron or Siemen platforms an advantage). Proven cross functional team working ability. Proven planning, schedule control and project management skills. Project Management  planning and execution of facility projects to demanding deadlines. Budget Management  demonstrating cost analysis, cost reduction and control. Contractor Management  demonstrating permit control, method statements, schedule management and safe working. To take your first step in securing this IT Engineer's role  where you will be an integral part of this successful and close knit team  please apply in writing via this advert or send your CV FAO Derek Woodhouse. Adecco Group UK Ireland is an employment agency. The Adecco Group UK Ireland is an equal opportunities employer and positively encourages applications from all eligible candidates regardless of sex, race disability, age, sexual orientation, gender assignment, religion or belief, marital status or pregnancy and maternity. Adecco is acting as an Employment Agency in relation to this vacancy.",Sunderland,full_time,permanent,CVbrowser,IT Jobs,cvbrowser.com,39223
165,Service Manager  Kent,Service Manager My client is currently looking for a service manager to work in the Gillingham area of Kent. The role for service manager will be managing a learning disability home which also caters for people with autism. The applicant for the service manager role must have experience managing a home in the care sector. They must have experience working with learning disabilities and autism. They must hold the NVQ Level 4 qualification or equivalent. If you would like to apply for the service manager role please forward me a copy of your CV. Hammond Recruitment Group is acting as an Employment Agency in relation to this vacancy. This job was originally posted as www.totaljobs.com/JobSeeking/ServiceManagerKent_job****,Gillingham,,permanent,Hammond Recruitment,Healthcare & Nursing Jobs,totaljobs.com,29000
166,Electrician,"Domestic electricians required in Glasgow area to carry out work wiring boilers on high rise properties. Week to week ongoing work on refurbishment project. Successful candidates must hold 17th edition, **** inspection and test certificate and CSCS card. Will require asbestos awareness certificate. Rate is **** per installation",UK,,contract,CDM Recruitment,Trade & Construction Jobs,cv-library.co.uk,14400
167,"Car Technician, Hampshire, Motor Trade Job","Automotive, Motor Trade Job: Car Technician required in Hampshire Salary: **** Basic, OTE **** Per Annum Term: Full Time, Permanent Motor Trade Jobs / Automotive Vacancies: Automotive Fully Qualified Car Technician required in Hampshire Our client a Main Dealer in the Hampshire area is currently looking to hire an experienced Technician for their busy dealership. This is a rare opportunity to join an established and successful dealership with a great team of people and positive working environment. Just as important as your skills is your desire to work as part of a team to produce a result and carry on the dealerships excellent reputation and drive for success, clock watchers and prima donnas need not apply. If you want to look forward to going in to work every day then don t delay APPLY NOW  You will ideally live within the Hampshire or be able to travel to the Hampshire area and have a working experience of Vehicle Maintenance and be qualified to City and Guilds Level 3 or equivalent. Our Client offers a competitive salary package with the opportunity for bonus. This vacancy is based in Hampshire and our client is looking only for motor trade experienced applicants. We will not send your CV to a job until we have spoken to you so it is imperative that you provide a daytime contact number preferably your mobile number. To apply please send your CV to Laurie Scott quoting J****  Technician, Hampshire. Please remember to add your home phone number, mobile number, email address and full address to your CV. If this information is missing it slows down our process and may result in us not being able to contact you. Follow us on Twitter (url removed) Perfect Placement UK Ltd is an employment agency acting as such under the Employment Act **** and Employment Agencies Act **** (and amendments). We have many different Motor Trade Jobs available from Service Manager, Service Team Leader, Aftersales Manager, Sales Executive, General Sales Manager, Sales Manager, Business Manager, Sales Admin, Body Shop Manager, Paint Sprayer, Panel Beater, Bodyshop Estimator, Dealer Principal, Motor Mechanic, Service Advisor, Motor Cycle Technicians Perfect Placement UK Limited 2012. The reproduction, transmission or other use of all or any part of this advert to or in any media, without Perfect Placement UK Limited s prior written permission is prohibited and may result in criminal or civil actions. Please contact our office on (Apply online only) if you wish to discuss this copyright",Hampshire,,permanent,Perfect Placement,Other/General Jobs,cv-library.co.uk,26500
168,Marketing Executive  Events Marketing  Exhibition Marketing  Market,"Marketing Executive  Events Marketing  Exhibition Marketing  Marketing Consultant  Marketing Executive is required for a major Exhibitions and events organiser, industry experience is noce to have but not essential. Experience in Marketing, full markeitng mix, excellent copywriting skills and project management experience are however essential. ROLE: Marketing executive LOCATION: London/Surrey BASIC SALARY: ****k to ****k ROLE: Development and implementation of a timely and engaging Exhibitor VIP buyer communications plan including copywriting and print production Planning and executing a targeted emarketing campaign Working with sales and VIP buyer teams to source and develop the event database Liaison with media partners ensuring the fulfilment of contra agreements Working with Marketing Manager in development of event content and networking events Liaison with external agencies, creative, online, PR and registration Briefing and managing relationships with suppliers including photographer, videographers, conference producers and accommodation providers Evaluating customer research, market conditions, competitor data to develop marketing communications and event content EXPERIENCE REQUIRED: The candidate: Proven track record in marketing, preferably in the exhibition environment Exceptional copywriting skills Good attention to detail and project management skills Good multitasking skills and ability to prioritise Ability to work under pressure and meet deadlines within budget Excellent online and IT skills Ability to develop a quick understanding of the luxury travel industry The candidate will be a selfmotivated team player with excellent communication skills. This job was originally posted as www.totaljobs.com/JobSeeking/MarketingExecutiveEventsMarketingExhibitionMarketingMarket_job****",Surrey,,permanent,TBS Recruitment Ltd,Other/General Jobs,totaljobs.com,25500
169,Financial Analyst,"My client is looking to recruit an ambitious Financial Analyst who will provide financial advice to their management team and support strategic decisions. Over the past two years the firm has opened up multiple overseas offices and still increased their revenue and profit. Following a thorough restructure the Firms finance function now works alongside the business, rather than as a back office support function. As a result this new Financial Analyst position has been created which will give you the opportunity to working alongside the FD, COO, CEO and International Practice Group Heads. Through the provision of detailed and insightful management information and analysis this position will play a key role in decisions surrounding investment appraisals, pricing strategy and business planning. In addition to this you will be seen as the face of finance and be responsible for presenting to Partners to giving them insight into financial performance across the firm and aiding the creation and execution of new business strategies. Your work will be firm wide and not just restricted to the London office, giving you the opportunity to work with all of the international offices. Given the commercial and strategic focus of this role, we are looking for qualified finance professionals who are currently supporting management and executive teams. You will be either ACA or CIMA qualified and need to show experience of influencing senior stakeholders and explaining finance to nonfinance people. In addition to this you will need excellent financial analysis, financial modelling and budgeting/ forecasting experience. To be considered for this role please apply or contact me on the details listed.",The City,,permanent,,Legal Jobs,hays.co.uk,56000
170,Welders TIG MIG Stick,"Must have experience on working on industrial sites. Must have site safety passport CCNSG. Must have experience in MIG TIG or stick welding. Confined space ticket would be an advantage. Ideally have own PAT testing equipment. Temporary for ****/4 weeks. 12 hours per day, Monday  Friday, Days. To apply please contact Dan French on **** ****",Stamford,full_time,,Fast Track Services Management,Engineering Jobs,Jobcentre Plus,38400
171,Inbound Sales Consultant (Personal Banking),"Inbound Sales Consultant (Personal Banking) With products this good, you can t miss At Santander, we re aiming to make everything simpler. We want to make it easier for our customers to do business with us so there will be no more banking jargon and much more straightforward customerfriendly information. The Role As a Personal Banking Consultant you will be selling a range of banking, credit cards and savings products to our customers over the telephone. The calls you will be dealing with will mostly be inbound calls with some outbound calling to warm leads. Our telephone teams are sales driven and goalorientated. You will need to ensure that your targets are met and that excellent customer service is maintained. Through getting to know your customer and identifying their needs, you will be helping them choose the products that are right for them. What are we looking for? We are looking for positive individuals and excellent communicators who will speak to customers about our range of financial products, which include bank accounts, credit cards, savings and unsecured personal loans. You will need a team attitude with the high levels of selfmotivation required for you to meet and exceed your targets. The Reward One of the most competitive basic salaries around is just the start. Once your training is complete you will be eligible for our generous quarterly incentive scheme. Our industryleading training programme will provide you with all the resources you need to succeed. Other Santander benefits include: SMART Pension 25 days Holiday  public holidays entitlement Product discounts Retail and High Street discounts Defined career development path through our advisor progression scheme Hours of work You will need to be flexible as you will be working on average **** hours/week, between 8.00 am and 9.00 pm Monday to Friday with at least two Saturdays a month between 8.00 am and 4.00 pm. Salary **** (OTE **** to ****)  Excellent Benefits (On completion of satisfactory **** month probationary period, salary will increase to ****) If you have retail, contact centre sales experience, or have worked in a targeted sales environment and are passionate about dealing with people, apply now to find out more",Leicester,,permanent,Santander,Customer Services Jobs,cv-library.co.uk,18015
172,Home Manager  Birmingham,"This week at Recruiting for Care we are recruiting for a Home Manager registered as a RMN (Registered mental health nurse) to take over a 35 bedded home in the Walsall area of the Midlands. The salary for this role is up to 37,000.The home is a modern purposed base vicinity situated North of Walsall within the Cannock area. The home offers respite to carers as well as 24 hour care to elderly residents suffering with dementia by providing various activities set up by a dedicated activities coordinator. Within this role you will be responsible with the continued transformation of the home which specialises in the care of dementia. To apply for the role you must have the following attributes: NMC Registered Exposure to working in Dementia Background in managing nursing homes Strong management personality Experience in building up a home If you would like to be considered for this role then please reply to this email with an updated CV and a contact number to call you on. If you would like to hear more about this role you can call me on **** **** ****",Birmingham,full_time,,Recruiting for Care,Healthcare & Nursing Jobs,staffnurse.com,36000
173,Customer Analysis SAS Consultant,"Customer Analysis SAS Consultant, SAS Base, SAS Macro, SQL, SAS AF My client is looking for a SAS Consultant who will be responsible for developing, maintaining and automating key SAS generated routines within the analysis function of the clients marketing department. You will be involved i:  Extracting marketing lists in defined layouts and formats.  Developing automated postcampaign reporting.  Creation of analytical data sets for the analysis team supporting projects  Analytical projects  Documentation of all processes and routines. Experience in marketing and campaign environments is required to be selected for this role. Additional skills in SAS AF, data querying tools like ALterian or Viper, SQL Programming, propensity modelling and segmentation would be beneficial. Customer Analysis SAS Consultant, SAS Base, SAS Macro, SQL, SAS AF Allegis Group Limited and Aston Carter Limited operate Employment Businesses and Agencies and are companies within the Allegis Group Inc. group of companies, the fourth largest staffing company in the world, (collectively referred to as the 'Allegis Group'). TEKsystems and Aerotek are divisions of Allegis Group Limited. Applicant data will be treated in accordance with the Allegis Group's Privacy Notice http://www.allegisgroup.com/Privacy/Default.aspx). By submitting personal data to any company or division within the Allegis Group, the applicant is providing explicit consent to the use of such data by the Allegis Group and to the transfer of such data to and from the Allegis Group companies within the UK, Europe and outside the European Economic Area in connection with the fulfilment of the applicant's voluntary requests, and the fulfilment of other job opportunities that match the applicant's profile, and confirms that they may be contacted about such job opportunities. This job was originally posted as www.cwjobs.co.uk/JobSeeking/CustomerAnalysisSASConsultant_job****",UK,,contract,Aston Carter,IT Jobs,cwjobs.co.uk,78000
174,GRADUATE SALES EXECUTIVE / GRADUATE ACCOUNT MANAGER,"GRADUATE SALES EXECUTIVE / GRADUATE ACCOUNT MANAGER Sector: Sports Apparel Location: Sheffield Salary : **** basic salary OTE **** 1 st year uncapped Well established branded sports apparel  over 15 years ago Bespoke services offered for unique sportswear Multi million pound organisation Face to face client visits The Role: As a graduate sales executive you will be asked to demonstrate a professional, consultative approach and an affinity with the sports sector. Our client is keen to meet people who have excelled in sport at club level, have been involved in club management at University or have experience in retail sales. This is a fantastic opportunity to commence a career in a fast moving industry with a dynamic, forward thinking company. The Company: This privately owned company manufacture a bespoke range of club and team sports kits. They sell to the public and private sector and their clients include schools, universities, local education authorities and private sports clubs. The also sell a range of off the shelf products to independent retailers. Your aim will be to manage approximately **** accounts in the north west of England. You will also be targeted on opening and developing new accounts in the private sector. Responsibilities as a Graduate Sales Executive will include: Account Management Presenting new product lines Conducting range reviews with existing customers Continual training throughout your first 18 months For this Graduate Account Manager position, we are looking for individuals who meet the following criteria: Educated to degree level Excellent verbal and communication skills Ambitious, driven and target orientated Interested in all sports Strong work ethic Excellent personal presentation Ability to build rapport The Package for this Graduate sales role: **** basic salary OTE **** 1 st year uncapped Pension Car Mobile Laptop 23 days holiday About BMS Graduate Recruitment LLP: BMS Graduate Recruitment specialises in graduate jobs and specifically graduates sales . We focus on graduate assessment, placement and sales training . Established in 1990, we've developed a brand synonymous with sales recruitment and training by working with a prestigious client base of UK and global companies. We have a national coverage and a network of **** regional offices. Please visit our website at www.bmsgraduates.com or call Sharon Wright on **** **** This job was originally posted as www.SalesTarget.co.uk/JobSeeking/GRADUATESALESEXECUTIVEGRADUATEACCOUNTMANAGER_job****",Sheffield,,,BMS Sales Specialists LLP,Sales Jobs,salestarget.co.uk,26000
175,Community Nurse  IV Therapies West Midlands,"Passionate about making lives better, Bupa is dedicated to clinical excellence  inspiring and supporting our nurses to put people at the heart of everything they do. That’s because with no shareholders to answer to, we’re free to concentrate on the needs of our patients. And so are you. Join us and you will be well looked after too, with a great range of benefits and professional development to help you build the kind of nursing career you’ve always wanted. What we expect from you You are a Registered Nurse with an ENB998 or City and Guilds **** qualification and valid NMC PIN Number. You care about clinical excellence. You believe in the importance of the right things, done well. And you will thrive in a dynamic, fast paced environment. About the role The impact you will have on patients lives will go far beyond care  giving them independence, choice and privacy. You will get to know them, and their families, enabling you to follow personal care plans that really are as unique as every individual. You will take the lead in delivering medication, educating patients and maintaining high quality care documentation. You will be confident in reporting all activity, risks and issues to your line manager. You will be able to demonstrate your experience in the administration of IV antibiotics, TPN and of managing patients with central lines. You will cover the West Midlands region from Coventry up through Birmingham with some travel to the East Midlands when necessary. You will have an acute ward or community nursing background, a current NMC registration and hold a full EU driving licence. About Bupa Home Healthcare With ever increasing demands on NHS resources, home healthcare is becoming an important alternative. Bupa Home Healthcare provides everything you need in professional care and expert management. We help you maintain the highest standards of patient service whilst achieving those vital performance targets. We will constantly develop your skills, provide supervised practice and a career path that will help you progress your career further. We can also help you gain recognised qualifications. The role carries an attractive salary and benefits package. Be the Nurse you want to be We are also looking for Nurses to join our bank. You will be given full training and regular work will be available including evenings, nights and weekends. This job was originally posted as www.totaljobs.com/JobSeeking/CommunityNurseIVTherapiesWestMidlands_job****",UK,,permanent,Bupa BHH,Healthcare & Nursing Jobs,totaljobs.com,24500
176,Sales Consultant,"Calling all sales professionals, if you are looking for a sales role with high earning potential, top incentives and with warm leads then we want to hear from you Excellent incentives on offer including weekends in London/Manchester/Brighton and worldwide trips to the top sellers of the year. Our client is a leading, household name based in Bournemouth Town Centre who are rapidly expanding and looking to increase their sales team by another **** over the coming months. They are looking for money hungry individuals who can beat last years top seller s earnings of **** If you are an outstanding communicator with a strong sales ability to close deals with an outgoing and confident personality then we want to hear from you today. Linked Recruitment are an equal opportunities agency and welcome applicants from all parts of the community",Bournemouth,,permanent,Linked Recruitment,Sales Jobs,cv-library.co.uk,16000
177,Graduate Programme,"LOOK NO FURTHER Our graduate scheme will give you exposure to all areas of hospitality. You will mix with a great group of people who will support your development and work with you throughout the **** month programme to get a fantastic job As part of the assessment process you will get the opportunity to meet with our current graduates who will share with you their experiences of the programme, until then this is what some of them had to say: The programme is an excellent platform into the world of hospitality, and quite simply, is an excellent starting position for future development. Every day is different, you meet great people and do great things. Simon Rigby  Graduate soon to be Sales Manager No two people are the same, the same applies to companies and graduate programmes. This journey has provided diverse opportunities to fast track career progression; in a company that allows you to be unique, innovative and fun resulting in getting the dream job . ?? Maria Fox  Graduate soon to be Front of House Manager You will gain experience in Sales and Business Development, Bars and Restaurants, Conference and Events, Front of House and Finance. The programme will commence in April 2013 and you will be given two **** month placements within 2 very different locations and properties, and have the opportunity to get involved in business projects and events which will widen your knowledge and skills within the key areas of hospitality. Why go anywhere else? Simply forward your CV with a covering letter by no later than the 22nd February 2013 to be in with a chance to join this great programme You can also find out more about De Vere Venues online by going to",UK,,,i resourcer,Hospitality & Catering Jobs,jobs.catererandhotelkeeper.com,20000
178,Head of Technical Alliances,"A Head of Technical Alliances with strong experience of managing engagements with large third party software providers/technology vendors is required to join the worlds leading source of news and information combining industry expertise with innovative technology to deliver critical information to leading decision makers. This is an excellent opportunity for a Head of Technical Alliances coming from a large software or consultancy provider acting as an interface between your client and technology software providers to ensure that these vendors are aware of your clients needs and due to this they are versatile to meet your needs. This is an excellent opening for experienced professionals who have managed vendors for large IT Consultancies to join a global business operating in over 100 countries who are at the forefront of delivering intelligent information quickly and efficiently. The Head of Technical Alliances will essentially be the point of contact and decision maker that stands between the organisation and their third party software providers. You will be tasked on ensuring that your end clients software needs are met quickly and efficiently and that cutting edge software is communicated effectively by yourself to both them and your own organisation. Your main responsibilities will be split across two main areas: Indirect Strategy You will be responsible for conducting assessments in to the revenue contribution of current OEMs (original equipment manufacturers) partners so as to understand the priority and segmentations that can be applied for. You will also establish KPIs against which vendors can be assessed. Vendor Relationships you will present business justification for continued engagements with partners, identify and deliver appropriate communication frameworks for ongoing dialogue and work with vendors to support their RFPs. In order to be considered for this role it is essential that you are an experienced Head of Technical Alliances with strong experience of managing engagements with large third party software providers. You will have extensive experience of acting as an interface between your organisation and client and internally and with software providers. Ideally you will have come from a Solutions Sales background and you will have an appreciation of the financial services arena. To be considered for this role please apply now or call Amy Johnson on **** **** ****",The City,,permanent,Experis IT,IT Jobs,jobsite.co.uk,81750
179,French Teacher,"A Spanish Teacher is required by a Secondary School in Buckinghamshire from March ****01****. The post is a maternity cover position and will require you to teach Spanish to KS**** students and KS**** French.You will have NQT or full QTS status and be fluent in both Spanish and French. With your clear and strong understanding of languages you will be able to confidently teach Spanish up to GCSE level and French up to KS3Skills and abilities required for the role include: You will be able to teach both languages to the required level within the curriculum, teaching both verbal and written aspects of the 2 languages; ensuring the curriculum is taught to the highest of standard. You will hold either NQT or QTS status, overseas Qualified Teachers would be required to present proof of UK NARIC and be able to evidence a UK Teacher Registration Number  You will be able to plan, prepare and assess your lessons according to class and group ability Your passion for languages will be clearly evident in class and this inturn will assit in providing a positive learning environment for your students You will be able to effectively manage the students behaviour and will have the required skills set to deal with more challenging behaviour if necessaryIf successful you will be required to attend a facetoface interview and have a CRB processed through Monarch Education prior to starting work in the school.",High Wycombe,full_time,permanent,UKStaffsearch,HR & Recruitment Jobs,ukstaffsearch.com,29700
180,Sales Account Manager,Account Manager A dynamic and successful Wireless Solutions Provider is looking for a Sales Account Manager to join their expanding and successful business. Working in a motivated and hardworking team you will be responsible for driving business to ensure that maximum sales potential is achieved. You will be responsible for generating new business aswell as managing your own database of clients. Relationship building is essential within this role and requires a tenacious attitude. The right candidate will be offered a basic of ********k  10% of any sales made. This job was originally posted as www.totaljobs.com/JobSeeking/SalesAccountManager_job****,Bournemouth,,permanent,Go Recruits,Sales Jobs,totaljobs.com,17500
181,Payment Executive,Have you dealt with the recovery of monies? or have you got previous experience working within the property industry? Our clients offer's an excellent salary and benefits package for the right candidate. Our client is the UK's largest Investment Property Consultants and deals with properties in 95 countries. About the Role: Working in the payment executive department reporting to the Finance Director Customer based position ensuring that the clients instalments are paid on time Inputting payments received Chasing any outstanding monies Sending out default notices if required Resolving any queries Sending out reminder letters Issuing receipts Taking payments Ensuring that the inhouse system is up to date per property Working to targets Experience and Skills Ideally someone with Credit Control experience Estate Agency experienced Dealing with difficult calls Dealing with customers overseas Dealing with a wide range of customers Hours Monday  Friday **** Salary and Benefits In return for you hard work you will receive a salary of ****  **** per annum and bonuses This job was originally posted as www.totaljobs.com/JobSeeking/PaymentExecutive_job****,Alderley Edge,,permanent,Jobwise,Accounting & Finance Jobs,totaljobs.com,19000
